driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,championships,employees,engine_manufacturer,Age,weather
Charles Leclerc,12.0,92.915,8.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,13.0,92.429,7.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,14.0,92.68,7.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,15.0,93.151,6.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,16.0,92.252,5.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,17.0,92.711,5.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,18.0,91.751,5.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,19.0,113.869,12.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,20.0,91.776,10.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,21.0,91.79,10.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,22.0,91.467,10.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,23.0,91.378,7.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,24.0,91.567,7.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,25.0,91.364,7.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,26.0,91.398,7.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,27.0,91.012,6.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,28.0,90.804,6.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,29.0,90.668,6.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,30.0,90.731,6.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,31.0,90.704,5.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,32.0,90.629,4.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,33.0,91.415,4.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,34.0,91.201,4.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,35.0,90.978,4.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,36.0,90.952,4.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,37.0,90.911,4.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,38.0,90.638,4.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,39.0,90.552,4.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,40.0,90.753,4.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,41.0,91.054,4.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,42.0,91.212,3.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,43.0,91.122,3.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,44.0,90.832,3.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,45.0,91.719,4.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,46.0,91.513,4.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,47.0,91.373,4.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,48.0,91.602,4.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,49.0,92.063,4.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,50.0,94.054,4.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,51.0,93.817,4.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Charles Leclerc,52.0,91.841,4.0,70th Anniversary,0.91,0.81,0.6,1.0,16,700,1,22.0,Sunny
Alexander Albon,1.0,99.919,9.0,70th Anniversary,0.86,0.66,0.57,5.0,4,1000,1,24.0,Sunny
Alexander Albon,2.0,94.083,9.0,70th Anniversary,0.86,0.66,0.57,5.0,4,1000,1,24.0,Sunny
Alexander Albon,3.0,93.802,9.0,70th Anniversary,0.86,0.66,0.57,5.0,4,1000,1,24.0,Sunny
