driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,championships,employees,engine_manufacturer,Age,weather
Sebastian Vettel,47.0,99.665,13.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,48.0,103.044,13.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,49.0,101.74,13.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,50.0,102.569,13.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,51.0,100.518,13.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Sebastian Vettel,52.0,100.393,13.0,Russia,0.87,0.82,0.9,1.0,16,700,1,33.0,Sunny
Kimi Raikkönen,1.0,150.825,17.0,Russia,0.84,0.76,0.99,0.0,0,300,0,40.0,Sunny
Kimi Raikkönen,6.0,104.871,15.0,Russia,0.84,0.76,0.99,0.0,0,300,0,40.0,Sunny
Kimi Raikkönen,7.0,104.733,15.0,Russia,0.84,0.76,0.99,0.0,0,300,0,40.0,Sunny
Kimi Raikkönen,8.0,104.066,15.0,Russia,0.84,0.76,0.99,0.0,0,300,0,40.0,Sunny
Kimi Raikkönen,9.0,104.81,14.0,Russia,0.84,0.76,0.99,0.0,0,300,0,40.0,Sunny
Kimi Raikkönen,10.0,103.216,14.0,Russia,0.84,0.76,0.99,0.0,0,300,0,40.0,Sunny
Kimi Raikkönen,11.0,102.791,14.0,Russia,0.84,0.76,0.99,0.0,0,300,0,40.0,Sunny
Kimi Raikkönen,12.0,102.79,14.0,Russia,0.84,0.76,0.99,0.0,0,300,0,40.0,Sunny
Kimi Raikkönen,13.0,102.96,14.0,Russia,0.84,0.76,0.99,0.0,0,300,0,40.0,Sunny
Kimi Raikkönen,14.0,102.789,14.0,Russia,0.84,0.76,0.99,0.0,0,300,0,40.0,Sunny
Kimi Raikkönen,15.0,102.518,14.0,Russia,0.84,0.76,0.99,0.0,0,300,0,40.0,Sunny
Kimi Raikkönen,16.0,102.478,13.0,Russia,0.84,0.76,0.99,0.0,0,300,0,40.0,Sunny
Kimi Raikkönen,17.0,102.733,12.0,Russia,0.84,0.76,0.99,0.0,0,300,0,40.0,Sunny
